Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month Name,Day Name,age group
1,11/24/2023,CUST001,Male,34,Beauty,3,50,150,November,Friday,25-34
2,2/27/2023,CUST002,Female,26,Clothing,2,500,1000,February,Monday,25-34
3,1/13/2023,CUST003,Male,50,Electronics,1,30,30,January,Friday,45-54
4,5/21/2023,CUST004,Male,37,Clothing,1,500,500,May,Sunday,35-44
5,5/6/2023,CUST005,Male,30,Beauty,2,50,100,May,Saturday,25-34
6,4/25/2023,CUST006,Female,45,Beauty,1,30,30,April,Tuesday,45-54
7,3/13/2023,CUST007,Male,46,Clothing,2,25,50,March,Monday,45-54
8,2/22/2023,CUST008,Male,30,Electronics,4,25,100,February,Wednesday,25-34
9,12/13/2023,CUST009,Male,63,Electronics,2,300,600,December,Wednesday,55-64
10,10/7/2023,CUST010,Female,52,Clothing,4,50,200,October,Saturday,45-54
11,2/14/2023,CUST011,Male,23,Clothing,2,50,100,February,Tuesday,18-24
12,10/30/2023,CUST012,Male,35,Beauty,3,25,75,October,Monday,35-44
13,8/5/2023,CUST013,Male,22,Electronics,3,500,1500,August,Saturday,18-24
14,1/17/2023,CUST014,Male,64,Clothing,4,30,120,January,Tuesday,55-64
15,1/16/2023,CUST015,Female,42,Electronics,4,500,2000,January,Monday,35-44
16,2/17/2023,CUST016,Male,19,Clothing,3,500,1500,February,Friday,18-24
17,4/22/2023,CUST017,Female,27,Clothing,4,25,100,April,Saturday,25-34
18,4/30/2023,CUST018,Female,47,Electronics,2,25,50,April,Sunday,45-54
19,9/16/2023,CUST019,Female,62,Clothing,2,25,50,September,Saturday,55-64
20,11/5/2023,CUST020,Male,22,Clothing,3,300,900,November,Sunday,18-24
21,1/14/2023,CUST021,Female,50,Beauty,1,500,500,January,Saturday,45-54
22,10/15/2023,CUST022,Male,18,Clothing,2,50,100,October,Sunday,18-24
23,4/12/2023,CUST023,Female,35,Clothing,4,30,120,April,Wednesday,35-44
24,11/29/2023,CUST024,Female,49,Clothing,1,300,300,November,Wednesday,45-54
25,12/26/2023,CUST025,Female,64,Beauty,1,50,50,December,Tuesday,55-64
26,10/7/2023,CUST026,Female,28,Electronics,2,500,1000,October,Saturday,25-34
27,8/3/2023,CUST027,Female,38,Beauty,2,25,50,August,Thursday,35-44
28,4/23/2023,CUST028,Female,43,Beauty,1,500,500,April,Sunday,35-44
29,8/18/2023,CUST029,Female,42,Electronics,1,30,30,August,Friday,35-44
30,10/29/2023,CUST030,Female,39,Beauty,3,300,900,October,Sunday,35-44
31,5/23/2023,CUST031,Male,44,Electronics,4,300,1200,May,Tuesday,35-44
32,1/4/2023,CUST032,Male,30,Beauty,3,30,90,January,Wednesday,25-34
33,3/23/2023,CUST033,Female,50,Electronics,2,50,100,March,Thursday,45-54
34,12/24/2023,CUST034,Female,51,Clothing,3,50,150,December,Sunday,45-54
35,8/5/2023,CUST035,Female,58,Beauty,3,300,900,August,Saturday,55-64
36,6/24/2023,CUST036,Male,52,Beauty,3,300,900,June,Saturday,45-54
37,5/23/2023,CUST037,Female,18,Beauty,3,25,75,May,Tuesday,18-24
38,3/21/2023,CUST038,Male,38,Beauty,4,50,200,March,Tuesday,35-44
39,4/21/2023,CUST039,Male,23,Clothing,4,30,120,April,Friday,18-24
40,6/22/2023,CUST040,Male,45,Beauty,1,50,50,June,Thursday,45-54
41,2/22/2023,CUST041,Male,34,Clothing,2,25,50,February,Wednesday,25-34
42,2/17/2023,CUST042,Male,22,Clothing,3,300,900,February,Friday,18-24
43,7/14/2023,CUST043,Female,48,Clothing,1,300,300,July,Friday,45-54
44,2/19/2023,CUST044,Female,22,Clothing,1,25,25,February,Sunday,18-24
45,7/3/2023,CUST045,Female,55,Electronics,1,30,30,July,Monday,55-64
46,6/26/2023,CUST046,Female,20,Electronics,4,300,1200,June,Monday,18-24
47,11/6/2023,CUST047,Female,40,Beauty,3,500,1500,November,Monday,35-44
48,5/16/2023,CUST048,Male,54,Electronics,3,300,900,May,Tuesday,45-54
49,1/23/2023,CUST049,Female,54,Electronics,2,500,1000,January,Monday,45-54
50,8/24/2023,CUST050,Female,27,Beauty,3,25,75,August,Thursday,25-34
51,10/2/2023,CUST051,Male,27,Beauty,3,25,75,October,Monday,25-34
52,3/5/2023,CUST052,Female,36,Beauty,1,300,300,March,Sunday,35-44
53,7/13/2023,CUST053,Male,34,Electronics,2,50,100,July,Thursday,25-34
54,2/10/2023,CUST054,Female,38,Electronics,3,500,1500,February,Friday,35-44
55,10/10/2023,CUST055,Male,31,Beauty,4,30,120,October,Tuesday,25-34
56,5/31/2023,CUST056,Female,26,Clothing,3,300,900,May,Wednesday,25-34
57,11/18/2023,CUST057,Female,63,Beauty,1,30,30,November,Saturday,55-64
58,11/13/2023,CUST058,Male,18,Clothing,4,300,1200,November,Monday,18-24
59,7/5/2023,CUST059,Male,62,Clothing,1,50,50,July,Wednesday,55-64
60,10/23/2023,CUST060,Male,30,Beauty,3,50,150,October,Monday,25-34
61,4/9/2023,CUST061,Male,21,Beauty,4,50,200,April,Sunday,18-24
62,12/27/2023,CUST062,Male,18,Beauty,2,50,100,December,Wednesday,18-24
63,2/5/2023,CUST063,Male,57,Electronics,2,25,50,February,Sunday,55-64
64,1/24/2023,CUST064,Male,49,Clothing,4,25,100,January,Tuesday,45-54
65,12/5/2023,CUST065,Male,51,Electronics,4,500,2000,December,Tuesday,45-54
66,4/27/2023,CUST066,Female,45,Electronics,1,30,30,April,Thursday,45-54
67,5/29/2023,CUST067,Female,48,Beauty,4,300,1200,May,Monday,45-54
68,2/10/2023,CUST068,Male,25,Electronics,1,300,300,February,Friday,25-34
69,4/30/2023,CUST069,Female,56,Beauty,3,25,75,April,Sunday,55-64
70,2/21/2023,CUST070,Female,43,Clothing,1,300,300,February,Tuesday,35-44
71,7/14/2023,CUST071,Female,51,Beauty,4,25,100,July,Friday,45-54
72,5/23/2023,CUST072,Female,20,Electronics,4,500,2000,May,Tuesday,18-24
73,8/21/2023,CUST073,Male,29,Electronics,3,30,90,August,Monday,25-34
74,11/22/2023,CUST074,Female,18,Beauty,4,500,2000,November,Wednesday,18-24
75,7/6/2023,CUST075,Male,61,Beauty,4,50,200,July,Thursday,55-64
76,3/25/2023,CUST076,Female,22,Electronics,2,50,100,March,Saturday,18-24
77,7/9/2023,CUST077,Female,47,Clothing,2,50,100,July,Sunday,45-54
78,7/1/2023,CUST078,Female,47,Clothing,3,500,1500,July,Saturday,45-54
79,4/18/2023,CUST079,Male,34,Beauty,1,300,300,April,Tuesday,25-34
80,12/10/2023,CUST080,Female,64,Clothing,2,30,60,December,Sunday,55-64
81,5/17/2023,CUST081,Male,40,Electronics,1,50,50,May,Wednesday,35-44
82,12/26/2023,CUST082,Female,32,Beauty,4,50,200,December,Tuesday,25-34
83,12/16/2023,CUST083,Male,54,Electronics,2,50,100,December,Saturday,45-54
84,11/28/2023,CUST084,Female,38,Electronics,3,30,90,November,Tuesday,35-44
85,2/6/2023,CUST085,Male,31,Clothing,3,50,150,February,Monday,25-34
86,11/8/2023,CUST086,Male,19,Beauty,3,30,90,November,Wednesday,18-24
87,11/22/2023,CUST087,Female,28,Beauty,2,50,100,November,Wednesday,25-34
88,3/29/2023,CUST088,Male,56,Clothing,1,500,500,March,Wednesday,55-64
89,10/1/2023,CUST089,Female,55,Electronics,4,500,2000,October,Sunday,55-64
90,5/6/2023,CUST090,Female,51,Electronics,1,30,30,May,Saturday,45-54
91,3/25/2023,CUST091,Female,55,Electronics,1,500,500,March,Saturday,55-64
92,8/25/2023,CUST092,Female,51,Electronics,4,30,120,August,Friday,45-54
93,7/14/2023,CUST093,Female,35,Beauty,4,500,2000,July,Friday,35-44
94,5/19/2023,CUST094,Female,47,Beauty,2,500,1000,May,Friday,45-54
95,11/24/2023,CUST095,Female,32,Clothing,2,30,60,November,Friday,25-34
96,12/19/2023,CUST096,Female,44,Clothing,2,300,600,December,Tuesday,35-44
97,10/13/2023,CUST097,Female,51,Beauty,2,500,1000,October,Friday,45-54
98,4/23/2023,CUST098,Female,55,Beauty,2,50,100,April,Sunday,55-64
99,12/17/2023,CUST099,Female,50,Electronics,4,300,1200,December,Sunday,45-54
100,6/16/2023,CUST100,Male,41,Electronics,1,30,30,June,Friday,35-44
101,1/29/2023,CUST101,Male,32,Clothing,2,300,600,January,Sunday,25-34
102,4/28/2023,CUST102,Female,47,Beauty,2,25,50,April,Friday,45-54
103,1/17/2023,CUST103,Female,59,Clothing,1,25,25,January,Tuesday,55-64
104,6/11/2023,CUST104,Female,34,Beauty,2,500,1000,June,Sunday,25-34
105,7/25/2023,CUST105,Female,22,Electronics,1,500,500,July,Tuesday,18-24
106,5/18/2023,CUST106,Female,46,Clothing,1,50,50,May,Thursday,45-54
107,2/3/2023,CUST107,Female,21,Clothing,4,300,1200,February,Friday,18-24
108,4/19/2023,CUST108,Female,27,Beauty,3,25,75,April,Wednesday,25-34
109,10/18/2023,CUST109,Female,34,Electronics,4,500,2000,October,Wednesday,25-34
110,6/11/2023,CUST110,Male,27,Clothing,3,300,900,June,Sunday,25-34
111,4/19/2023,CUST111,Female,34,Electronics,3,500,1500,April,Wednesday,25-34
112,12/2/2023,CUST112,Male,37,Clothing,3,500,1500,December,Saturday,35-44
113,9/13/2023,CUST113,Female,41,Electronics,2,25,50,September,Wednesday,35-44
114,7/22/2023,CUST114,Female,22,Beauty,4,25,100,July,Saturday,18-24
115,11/26/2023,CUST115,Male,51,Clothing,3,500,1500,November,Sunday,45-54
116,8/23/2023,CUST116,Female,23,Clothing,1,30,30,August,Wednesday,18-24
117,3/15/2023,CUST117,Male,19,Electronics,2,500,1000,March,Wednesday,18-24
118,5/16/2023,CUST118,Female,30,Electronics,4,500,2000,May,Tuesday,25-34
119,3/13/2023,CUST119,Female,60,Clothing,3,50,150,March,Monday,55-64
120,5/7/2023,CUST120,Male,60,Beauty,1,50,50,May,Sunday,55-64
121,10/15/2023,CUST121,Female,28,Electronics,4,50,200,October,Sunday,25-34
122,10/3/2023,CUST122,Male,64,Electronics,4,30,120,October,Tuesday,55-64
123,5/15/2023,CUST123,Female,40,Electronics,2,30,60,May,Monday,35-44
124,10/27/2023,CUST124,Male,33,Clothing,4,500,2000,October,Friday,25-34
125,8/8/2023,CUST125,Male,48,Clothing,2,50,100,August,Tuesday,45-54
126,10/26/2023,CUST126,Female,28,Clothing,3,30,90,October,Thursday,25-34
127,7/24/2023,CUST127,Female,33,Clothing,2,25,50,July,Monday,25-34
128,7/5/2023,CUST128,Male,25,Beauty,1,500,500,July,Wednesday,25-34
129,4/23/2023,CUST129,Female,21,Beauty,2,300,600,April,Sunday,18-24
130,3/12/2023,CUST130,Female,57,Clothing,1,500,500,March,Sunday,55-64
131,9/18/2023,CUST131,Female,21,Beauty,2,300,600,September,Monday,18-24
132,9/10/2023,CUST132,Male,42,Electronics,4,50,200,September,Sunday,35-44
133,2/16/2023,CUST133,Male,20,Electronics,3,300,900,February,Thursday,18-24
134,1/25/2023,CUST134,Male,49,Electronics,1,50,50,January,Wednesday,45-54
135,2/26/2023,CUST135,Male,20,Clothing,2,25,50,February,Sunday,18-24
136,3/20/2023,CUST136,Male,44,Electronics,2,300,600,March,Monday,35-44
137,11/18/2023,CUST137,Male,46,Beauty,2,500,1000,November,Saturday,45-54
138,3/23/2023,CUST138,Male,49,Clothing,4,50,200,March,Thursday,45-54
139,12/15/2023,CUST139,Male,36,Beauty,4,500,2000,December,Friday,35-44
140,8/5/2023,CUST140,Male,38,Electronics,1,30,30,August,Saturday,35-44
141,11/2/2023,CUST141,Female,22,Electronics,1,50,50,November,Thursday,18-24
142,2/2/2023,CUST142,Male,35,Electronics,4,300,1200,February,Thursday,35-44
143,7/17/2023,CUST143,Female,45,Clothing,1,50,50,July,Monday,45-54
144,7/15/2023,CUST144,Female,59,Beauty,3,500,1500,July,Saturday,55-64
145,11/2/2023,CUST145,Female,39,Clothing,3,25,75,November,Thursday,35-44
146,8/28/2023,CUST146,Male,38,Clothing,4,50,200,August,Monday,35-44
147,9/28/2023,CUST147,Male,23,Electronics,1,300,300,September,Thursday,18-24
148,5/9/2023,CUST148,Male,18,Clothing,2,30,60,May,Tuesday,18-24
149,10/11/2023,CUST149,Male,22,Clothing,3,25,75,October,Wednesday,18-24
150,1/6/2023,CUST150,Female,58,Electronics,4,30,120,January,Friday,55-64
151,12/15/2023,CUST151,Male,29,Clothing,1,50,50,December,Friday,25-34
152,2/28/2023,CUST152,Male,43,Electronics,4,500,2000,February,Tuesday,35-44
153,12/16/2023,CUST153,Male,63,Electronics,2,500,1000,December,Saturday,55-64
154,10/2/2023,CUST154,Male,51,Electronics,3,300,900,October,Monday,45-54
155,5/17/2023,CUST155,Male,31,Electronics,4,500,2000,May,Wednesday,25-34
156,11/25/2023,CUST156,Female,43,Clothing,4,25,100,November,Saturday,35-44
157,6/24/2023,CUST157,Male,62,Electronics,4,500,2000,June,Saturday,55-64
158,2/27/2023,CUST158,Female,44,Electronics,2,300,600,February,Monday,35-44
159,5/31/2023,CUST159,Male,26,Clothing,4,50,200,May,Wednesday,25-34
160,8/11/2023,CUST160,Female,43,Clothing,2,50,100,August,Friday,35-44
161,3/22/2023,CUST161,Male,64,Beauty,2,500,1000,March,Wednesday,55-64
162,8/21/2023,CUST162,Male,39,Clothing,2,30,60,August,Monday,35-44
163,1/2/2023,CUST163,Female,64,Clothing,3,50,150,January,Monday,55-64
164,5/15/2023,CUST164,Female,47,Beauty,3,500,1500,May,Monday,45-54
165,9/14/2023,CUST165,Female,60,Clothing,4,300,1200,September,Thursday,55-64
166,4/2/2023,CUST166,Male,34,Clothing,4,500,2000,April,Sunday,25-34
167,9/17/2023,CUST167,Female,43,Clothing,3,50,150,September,Sunday,35-44
168,2/24/2023,CUST168,Male,53,Clothing,1,300,300,February,Friday,45-54
169,11/17/2023,CUST169,Male,18,Beauty,3,500,1500,November,Friday,18-24
170,6/2/2023,CUST170,Female,25,Clothing,2,25,50,June,Friday,25-34
171,11/24/2023,CUST171,Female,52,Clothing,3,300,900,November,Friday,45-54
172,9/17/2023,CUST172,Male,32,Beauty,2,25,50,September,Sunday,25-34
173,11/8/2023,CUST173,Male,64,Electronics,4,30,120,November,Wednesday,55-64
174,4/12/2023,CUST174,Female,39,Beauty,1,300,300,April,Wednesday,35-44
175,3/20/2023,CUST175,Female,31,Electronics,4,25,100,March,Monday,25-34
176,7/11/2023,CUST176,Female,43,Beauty,2,50,100,July,Tuesday,35-44
177,3/24/2023,CUST177,Male,45,Beauty,2,50,100,March,Friday,45-54
178,10/4/2023,CUST178,Male,40,Clothing,2,30,60,October,Wednesday,35-44
179,9/29/2023,CUST179,Male,31,Electronics,1,300,300,September,Friday,25-34
180,1/1/2023,CUST180,Male,41,Clothing,3,300,900,January,Sunday,35-44
181,11/3/2023,CUST181,Male,19,Electronics,4,300,1200,November,Friday,18-24
182,6/15/2023,CUST182,Male,62,Beauty,4,30,120,June,Thursday,55-64
183,9/8/2023,CUST183,Female,43,Beauty,3,300,900,September,Friday,35-44
184,1/10/2023,CUST184,Male,31,Electronics,4,50,200,January,Tuesday,25-34
185,2/27/2023,CUST185,Male,24,Clothing,1,25,25,February,Monday,18-24
186,7/5/2023,CUST186,Male,20,Clothing,4,50,200,July,Wednesday,18-24
187,6/7/2023,CUST187,Female,64,Clothing,2,50,100,June,Wednesday,55-64
188,5/3/2023,CUST188,Male,40,Clothing,3,25,75,May,Wednesday,35-44
189,1/30/2023,CUST189,Male,63,Beauty,1,50,50,January,Monday,55-64
190,5/4/2023,CUST190,Female,60,Beauty,3,30,90,May,Thursday,55-64
191,10/18/2023,CUST191,Male,64,Beauty,1,25,25,October,Wednesday,55-64
192,2/10/2023,CUST192,Male,62,Beauty,2,50,100,February,Friday,55-64
193,2/13/2023,CUST193,Male,35,Beauty,3,500,1500,February,Monday,35-44
194,9/6/2023,CUST194,Male,55,Clothing,4,50,200,September,Wednesday,55-64
195,2/5/2023,CUST195,Male,52,Clothing,1,30,30,February,Sunday,45-54
196,9/30/2023,CUST196,Female,32,Clothing,3,300,900,September,Saturday,25-34
197,3/6/2023,CUST197,Female,42,Clothing,4,50,200,March,Monday,35-44
198,3/7/2023,CUST198,Female,54,Beauty,3,300,900,March,Tuesday,45-54
199,12/4/2023,CUST199,Male,45,Beauty,3,500,1500,December,Monday,45-54
200,9/1/2023,CUST200,Male,27,Beauty,3,50,150,September,Friday,25-34
201,10/9/2023,CUST201,Male,56,Electronics,1,25,25,October,Monday,55-64
202,3/26/2023,CUST202,Female,34,Clothing,4,300,1200,March,Sunday,25-34
203,5/16/2023,CUST203,Male,56,Clothing,2,500,1000,May,Tuesday,55-64
204,9/28/2023,CUST204,Male,39,Beauty,1,25,25,September,Thursday,35-44
205,11/7/2023,CUST205,Female,43,Clothing,1,25,25,November,Tuesday,35-44
206,8/5/2023,CUST206,Male,61,Clothing,1,25,25,August,Saturday,55-64
207,4/19/2023,CUST207,Female,42,Beauty,2,25,50,April,Wednesday,35-44
208,10/4/2023,CUST208,Female,34,Electronics,4,50,200,October,Wednesday,25-34
209,12/20/2023,CUST209,Female,30,Electronics,4,50,200,December,Wednesday,25-34
210,4/13/2023,CUST210,Male,37,Electronics,4,50,200,April,Thursday,35-44
211,1/1/2024,CUST211,Male,42,Beauty,3,500,1500,January,Monday,35-44
212,6/9/2023,CUST212,Male,21,Clothing,3,500,1500,June,Friday,18-24
213,7/24/2023,CUST213,Male,27,Beauty,3,500,1500,July,Monday,25-34
214,12/10/2023,CUST214,Male,20,Beauty,2,30,60,December,Sunday,18-24
215,11/29/2023,CUST215,Male,58,Clothing,3,500,1500,November,Wednesday,55-64
216,7/11/2023,CUST216,Male,62,Electronics,2,50,100,July,Tuesday,55-64
217,8/13/2023,CUST217,Female,35,Electronics,4,50,200,August,Sunday,35-44
218,9/22/2023,CUST218,Male,64,Beauty,3,30,90,September,Friday,55-64
219,8/20/2023,CUST219,Female,53,Electronics,3,30,90,August,Sunday,45-54
220,3/3/2023,CUST220,Male,64,Beauty,1,500,500,March,Friday,55-64
221,5/7/2023,CUST221,Male,39,Beauty,2,300,600,May,Sunday,35-44
222,4/26/2023,CUST222,Male,51,Clothing,4,30,120,April,Wednesday,45-54
223,2/2/2023,CUST223,Female,64,Clothing,1,25,25,February,Thursday,55-64
224,6/23/2023,CUST224,Female,25,Clothing,1,50,50,June,Friday,25-34
225,1/11/2023,CUST225,Female,57,Beauty,4,25,100,January,Wednesday,55-64
226,10/29/2023,CUST226,Female,61,Clothing,1,50,50,October,Sunday,55-64
227,10/11/2023,CUST227,Male,36,Electronics,2,50,100,October,Wednesday,35-44
228,4/28/2023,CUST228,Female,59,Electronics,2,30,60,April,Friday,55-64
229,10/29/2023,CUST229,Male,58,Beauty,3,30,90,October,Sunday,55-64
230,4/23/2023,CUST230,Male,54,Beauty,1,25,25,April,Sunday,45-54
231,1/4/2023,CUST231,Female,23,Clothing,3,50,150,January,Wednesday,18-24
232,2/6/2023,CUST232,Female,43,Beauty,1,25,25,February,Monday,35-44
233,12/29/2023,CUST233,Female,51,Beauty,2,300,600,December,Friday,45-54
234,11/20/2023,CUST234,Female,62,Electronics,2,25,50,November,Monday,55-64
235,1/31/2023,CUST235,Female,23,Electronics,2,500,1000,January,Tuesday,18-24
236,4/28/2023,CUST236,Female,54,Clothing,1,25,25,April,Friday,45-54
237,2/4/2023,CUST237,Female,50,Beauty,2,500,1000,February,Saturday,45-54
238,1/17/2023,CUST238,Female,39,Beauty,1,500,500,January,Tuesday,35-44
239,6/19/2023,CUST239,Male,38,Electronics,3,500,1500,June,Monday,35-44
240,2/6/2023,CUST240,Female,23,Beauty,1,300,300,February,Monday,18-24
241,9/21/2023,CUST241,Female,23,Electronics,3,25,75,September,Thursday,18-24
242,5/2/2023,CUST242,Male,21,Clothing,1,25,25,May,Tuesday,18-24
243,5/23/2023,CUST243,Female,47,Electronics,3,300,900,May,Tuesday,45-54
244,12/9/2023,CUST244,Male,28,Beauty,2,50,100,December,Saturday,25-34
245,9/6/2023,CUST245,Male,47,Clothing,3,30,90,September,Wednesday,45-54
246,4/20/2023,CUST246,Female,48,Electronics,2,25,50,April,Thursday,45-54
247,10/4/2023,CUST247,Male,41,Electronics,2,30,60,October,Wednesday,35-44
248,3/9/2023,CUST248,Male,26,Clothing,3,300,900,March,Thursday,25-34
249,10/20/2023,CUST249,Male,20,Clothing,1,50,50,October,Friday,18-24
